rotten_tomatoes_link,movie_info
m/bb_king_the_life_of_riley_2012,The life and music of BB King.
m/be_afraid_2017,"John begins to experience sleep paralysis, and as he lies in bed paralyzed, entities that exist in the darkest shadows of the night visit him. John's horror intensifies when he learns that the beings plan to abduct his 7-year-old son."
m/be_cool,"Having made the transition from gangster to movie producer, Chili Palmer (John Travolta) is ready for the next big move. Setting his sights on the music industry, Palmer enters a precarious business that has more than just temperamental musicians: Russian mobsters, rival producers and hit men are out to bring him down. From witnessing the murder of his friend (James Woods) to romancing a music executive's widow (Uma Thurman), it seems as though it might all fall apart, but Palmer has his ways."
m/be_here_to_love_me_a_film_about_townes_van_zandt,"Singer-songwriter Townes van Zandt was at the center of Austin's outlaw country scene in the 1970s, but, while friends like Waylon Jennings and Steve Earle went on to mainstream stardom, the mercurial Van Zandt retreated into a haze of alcoholism and mental illness. Through interviews and rarely seen live footage recorded throughout Van Zandt's performing and recording career, this sympathetic documentary traces his work and life, which was cut short on New Year's Day 1997, when he was 52."
m/be_kind_rewind,"After a man (Jack Black) accidentally creates a magnetic field that erases a store's videotapes, he hatches a daring scheme to help his friend (Mos Def), a clerk at the store, keep his job. The two friends set out to re-create the most popular titles in the store's inventory, ranging from ""The Lion King"" to ""Robocop."""
m/be_my_cat_a_film_for_anne,A Romanian director becomes obsessed with an actress.
m/be_natural_the_untold_story_of_alice_guy_blache,The life and work of the first female film director.
m/be_with_me,"Three tales of love wrap around the true story of a blind and deaf woman named Theresa Chan. In the first an elderly shopkeeper is devoted to his sick wife. In the second, two teenage girls become soul mates and lovers. In the third a chubby security guard tries to find the courage to woo a beautiful woman who works in his building."
m/beach,"The desire to find something real -- to connect with something or someone -- is what drives Richard (Leonardo DiCaprio), a young American backpacker who arrives in Thailand with adventure on his mind. Etienne (Guillaume Canet) and Francoise (Virginie Ledoyen) join him on an adventure to ""The Beach,"" a mystical paradise. However, this paradise is less than perfect."
m/beach_blanket_bingo,"Frankie (Frankie Avalon) and the gang are hitting the beach for some good old-fashioned shenanigans. To get the party underway, the manager (Paul Lynde) of pop singer Sugar Kane (Linda Evans) decides a skydiving publicity stunt will really do the trick. As Frankie and the others are pulled into the plan, things get out of control. Throw in Bonehead (Jody McCrea) falling in love with a mermaid (Marta Kristen) and a kidnapping biker (Harvey Lembeck), and the party's just getting started."
m/beach_party,"Dolores (Annette Funicello) and Frankie (Frankie Avalon), attractive young surfers in Southern California, are just out for a good time. Their relaxed lifestyle fascinates Professor Sutwell (Bob Cummings), an anthropologist who decides to study the social lives of teens. A series of beach-themed films would follow the blueprint set by this one, which hinges on romantic rivalries, rugged motorcyclists, an attempted crime and plenty of handsome people."
m/beach_rats_2017,"An aimless teenager on the outer edges of Brooklyn is having a miserable summer. With his father on his deathbed and his mother wanting him to find a girlfriend, Frankie escapes the bleakness of his life by causing trouble with his delinquent friends and flirting with older men online. When his chatting and webcamming intensifies, he finally starts hooking up with guys at a nearby cruising beach while simultaneously entering into a cautious relationship with a young woman."
m/beaches,"Hillary (Barbara Hershey) and CC (Bette Midler) meet as children vacationing in Atlantic City, N.J., and remain friends throughout the decades. As CC, a loud New Yorker, pursues a singing career, Hillary, a staid Californian, becomes a successful lawyer. Over the years, they often quarrel or compete, but, as other relationships flourish and die, the two women are always there for each other, traveling from coast to coast through the most tumultuous times."
m/bean,"At the Royal National Gallery in London, the bumbling Mr. Bean (Rowan Atkinson) is a guard with good intentions who always seems to destroy anything he touches. Unless, of course, he's sleeping on the job. With the chairman (John Mills) blocking Bean's firing, the board decides to send him to a Los Angeles art gallery under false credentials. When Bean arrives, his chaos-causing ways are as sharp as ever, and curator David Langley (Peter MacNicol) has the unenviable task of keeping Bean in line."
m/beanpole,"During World War II in Leningrad, the siege of the city is finally over, but life and death struggles continue in the wreckage that remains. Two young women search for meaning and hope during their struggle to rebuild their lives amongst the ruins."
m/bearcity,"A tight-knit pack of friends in New York's gay community experience comical mishaps and lusty encounters as they gear up for a weeklong celebration of all things ""bear."""
m/beast_from_20000_fathoms,"Near the Arctic Circle researchers detonate a nuclear device and unwittingly thaw a prehistoric beast frozen for millions of years. The monster leaves a path of destruction across eastern North America as it heads straight for New York City. When heavy artillery proves ineffective against the towering creature, scientist Tom Nesbitt (Paul Christian) concocts a radioactive formula to neutralize the beast -- and ace shot Cpl. Stone (Lee Van Cleef) will deliver it by grenade."
m/beast_of_burden_2018,"Pilot Sean Haggerty must deliver a shipment of cocaine across the U.S.-Mexican border for his final run as a drug smuggler. Alone in a small plane, he's faced with the burden of his allegiance to the cartel, his deal with the Drug Enforcement Administration and his increasingly tense relationship with his wife."
m/beast_stalker,"Sgt. Tong's attempt to arrest a fleeing criminal goes spectacularly wrong, ending in a massive pile-up and innocent lives lost in the gunshots exchanged between the police and villains."
m/beast_within,"Driving near a small Mississippi town in 1964, newlyweds Eli (Ronny Cox) and Caroline (Bibi Besch) experience car trouble. When Eli goes off to look for help, Caroline gets raped and is made pregnant by a horrible creature. Years later the child, now teenager Michael (Paul Clemens), finds himself undergoing an inexplicable physical change that compels him to return to that area in Mississippi. Soon dead bodies start piling up while his desperate parents struggle to understand what's happening."
m/beastly,"After a spurned classmate curses him, a teen will be forever ugly unless he finds love."
m/beastmaster,Prehistoric Dar (Marc Singer) uses ESP with animals to save a slave girl (Tanya Roberts) from a sorcerer (Rip Torn).
m/beasts_of_the_southern_wild,"Six-year-old Hushpuppy (Quvenzhané Wallis) lives with her father, Wink (Dwight Henry), in a remote Delta community. Wink is a stern taskmaster, but he is preparing his young daughter for the end of the world. When Wink falls mysteriously ill, nature seems to fall ill with him. Temperatures rise, the ice caps melt and fearsome prehistoric beasts called aurochs run loose. Rising waters threaten to engulf their community, sending Hushpuppy in search of her long-lost mother."
m/beat_street,"At the forefront of early hip-hop culture, DJ Kenny Kirkland (Guy Davis), his B-boy brother, Lee (Robert Taylor), and graffiti artist Ramon (John Chardiet) all have hopes of showcasing their talents outside the confines of South Bronx, N.Y. When Tracy Carlson (Rae Dawn Chong), a composer and choreographer, runs into Kirkland and Lee at one of Manhattan's hottest nightclubs, she offers Lee an opportunity to perform on TV. However, the crew has a long way to go before achieving their dreams."
m/beat_that_my_heart_skipped,"Tom Seyr (Romain Duris), a violent thug with a heart, grows weary of cracking heads for his smarmy, mediocre gangster father, Robert (Niels Arestrup), and longs for a chance at something else. A fortuitous encounter prompts Tom to renew his classical piano playing, like his mother before him, and he begins to study with piano teacher Miao Lin (Linh Dan Pham). But when he starts a passionate affair with Aline (Aure Atika), the wife of one of his cronies, his new happiness may be short-lived."
m/beatles_a_hard_days_night,"The Beatles in their feature film debut, one of the greatest rock-and-roll comedy adventures ever. The film has a fully restored negative and digitally restored soundtrack. The film takes on the just-left-of-reality style of mock-documentary, following ""a day in the life"" of John, Paul, George, and Ringo as fame takes them by storm."
m/beatles_the_help,"In the follow-up to their successful debut musical, ""A Hard Day's Night,"" the Beatles once again offer up a melding of song and slapstick. After Ringo stumbles upon a valuable gem, the band starts getting harassed by a fringe religious group. To escape their sudden stalkers, the boys hit the road. As John, Paul, George and Ringo travel the globe, they perform a mix of musical numbers, singing hits ranging from ""Ticket to Ride"" to the titular ditty."
m/beatles_the_yellow_submarine,"The music-loving inhabitants of Pepperland are under siege by the Blue Meanies, a nasty group of music-hating creatures. The Lord Mayor of Pepperland (Dick Emery) dispatches sailor Old Fred (Lance Percival) to Liverpool, England, where he is to recruit the help of the Beatles (John Lennon, Paul McCartney, George Harrison, Ringo Starr). The sympathetic Beatles ride a yellow submarine to the occupied Pepperland, where the Blue Meanies have no chance against the Fab Four's groovy tunes."
m/beats,"A reclusive, teenage music prodigy forms an unlikely friendship with a struggling producer. United by their mutual love of hip-hop, they try to free each other from the demons of their past and break into the city's music scene."
m/beats_rhymes_and_life_the_travels_of_a_tribe_called_quest,Actor Michael Rapaport examines the music of the 1990s hip-hop group as well as the conflicts that drove the band members apart.
m/beau_geste,"Beau, John and Digby Geste are brothers who join the Foreign Legion, where they fall under the rule of tyrannical Sergeant Markoff. Beau and John are assigned to Fort Zinderneuf, where Markoff tries to break their spirit, aware of a dark family secret concerning a fabulous jewel one of them carries. As tensions rise, Arabs attack the fort and rivalries must be thrown aside in a desperate battle for life."
m/beautician_and_the_beast,"After beauty school teacher Joy Miller (Fran Drescher) becomes a local hero by rescuing lab animals from a fire in her workplace building, she's offered a job by Ira Grushinsky (Ian McNeice), an emissary from the Eastern European nation of Slovetzia. Boris Pochenko (Timothy Dalton), the country's dictator, wants to improve his image by hiring an American tutor for his children. Mistaken for a real teacher, Joy arrives in Slovetzia and soon bumps heads with Boris while brightening up palace life."
m/beautiful-darling,The life and work of Candy Darling.
m/beautiful_boxer,A Thai man (Asanee Suwan) who wants to have a sex-change operation becomes a champion kickboxer.
m/beautiful_boy,"Stuck in an unhappy but comfortable marriage, businessman Bill (Michael Sheen) and his wife, Kate (Maria Bello), are shocked when they learn that their son, Sammy (Kyle Gallner), has gone on a deadly shooting spree on his college campus before committing suicide. Struggling to avoid the media, the couple flees to the house of Kate's brother, Eric (Alan Tudyk). While the two try to remember what they might have done to drive Sammy to his desperate act, their mutual resentment builds."
m/beautiful_country,A Vietnamese youth (Damien Nguyen) of mixed race undertakes an arduous journey to the United States to find his American father (Nick Nolte).
m/beautiful_creatures,"After being abused by her boyfriend, Tony (Iain Glen), Dorothy (Susan Lynch) leaves him. At a bus station, she sees Petula (Rachel Weisz) being attacked by her boyfriend, Brian (Tom Mannion), and knocks him out. The girls drag him to Petula's apartment, where he dies. Panicked, the pair fakes a kidnapping to get a ransom from Brian's psychotic brother, Ronnie (Maurice Roëves). When corrupt Inspector Hepburn (Alex Norton) is sent to investigate, he forces the women to cut him in on their scheme."
m/beautiful_creatures_2013,"In the small town of Gatlin, S.C., teenage Ethan Wate (Alden Ehrenreich) sees his static world shaken by the arrival of Lena Duchannes (Alice Englert), the niece of town patriarch Macon Ravenwood (Jeremy Irons). Immediately, Ethan feels drawn to Lena, even though destruction seems to surround her, and she has supernatural powers that are beyond her control. Worse still, a curse looms for Lena at the approach of her 16th birthday -- a time when the forces of either light or dark will claim her."
m/beautiful_girls,"An all-star cast sparks this captivating comedy about a group of old friends whose 10-year high school reunion creates some hilariously unexpected surprises. Willie (Timothy Hutton), Tommy (Matt Dillon), and Paul may have lost a bit of their youth, but they're still ready to party with Uma Thurman, Rosie O'Donnell, Lauren Holly, and Mira Sorvino -- the beautiful girls who've turned their lives upside down!"
m/beautiful_kate,Long-simmering anger comes bubbling to the surface once again when a man (Ben Mendelsohn) returns home to visit his dying father (Bryan Brown).
m/beautiful_losers,Aaron Rose and Joshua Leonard document the lives and careers of young artists and designers who -- though unfamiliar with the workings of the traditional art world -- have had an impact on it.
m/beautiful_mind,"A human drama inspired by events in the life of John Forbes Nash Jr., and in part based on the biography ""A Beautiful Mind"" by Sylvia Nasar. From the heights of notoriety to the depths of depravity, John Forbes Nash Jr. experienced it all. A mathematical genius, he made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a painful and harrowing journey of self-discovery."
m/beautiful_people,"Soccer fanatic Griffin Midge repeatedly disappoints his parents. Portia Thornton sparks a relationship with a penniless refugee, much to the chagrin of her established political family. Dr. Mouldy manages to give meaning to the lives of a young couple determined to reject their newborn child. And BBC correspondent Jerry Higgins, deeply damaged from one too many war assignments, returns home to his wife and child with a new obsession, amputation."
m/beautiful_something,"Four gay men experience art, sex and love during one night."
m/beautiful_thing,"Shy Jamie (Glen Berry) and athletic Ste (Scott Neal) are teen boys who live near each other in the London projects. Both boys think they could be gay, and finally explore their feelings when Ste is allowed to stay over at Jamie's place after an incident with his abusive father. There, the boys grow close and open themselves up to the idea of homosexuality, while Jamie's caring mother, Sandra (Linda Henry), and quirky teen neighbor, Leah (Tameka Empson), offer much needed emotional support."
m/beautiful_truth,A 15-year-old Alaskan teenager embarks on a cross-country road trip to investigate Dr. Max Gerson's controversial claim of a dietary cure for cancer.
m/beautifully_broken,"A refugee's escape, a prisoner's promise, and a daughter's painful secret converge. As three fathers fight to save their families, their lives become intertwined in an unlikely journey across the globe."
m/beauty-and-the-beast-the-enchanted-christmas,"In this Disney animated sequel, the lovely Belle (Paige O'Hara) and her monstrous beau, Beast (Robby Benson), are in the midst of the holiday season. While Belle has no problem getting into the Christmas spirit, Beast isn't so easily swayed into a celebratory mood. Meanwhile, the castle's pipe organ, Forte (Tim Curry), becomes opposed to Belle's presence, as well as to her holiday decorating, and schemes to put an end to both her relationship with Beast and any Christmas festivities to boot."
m/beauty_and_the_beast_1991,"An arrogant young prince (Robby Benson) and his castle's servants fall under the spell of a wicked enchantress, who turns him into the hideous Beast until he learns to love and be loved in return. The spirited, headstrong village girl Belle (Paige O'Hara) enters the Beast's castle after he imprisons her father Maurice (Rex Everhart). With the help of his enchanted servants, including the matronly Mrs. Potts (Angela Lansbury), Belle begins to draw the cold-hearted Beast out of his isolation."
m/beauty_and_the_beast_2014,A romance blossoms between the youngest daughter of a merchant who has fallen on hard times and the mysterious beast her father owes a debt to.
m/beauty_and_the_beast_2017,"Belle (Emma Watson), a bright, beautiful and independent young woman, is taken prisoner by a beast (Dan Stevens) in its castle. Despite her fears, she befriends the castle's enchanted staff and learns to look beyond the beast's hideous exterior, allowing her to recognize the kind heart and soul of the true prince that hides on the inside."
m/beauty_is_embarrassing,Filmmaker Neil Berkeley documents the life and times of American artist Wayne White.
m/beavis_and_butt_head_do_america,"Two of the biggest animated slackers around, Beavis (Mike Judge) and Butt-head (also Judge) get a kick-start when two crooks steal their TV. On their mission to find a replacement, Beavis and Butt-head wind up in the motel of Muddy Grimes (Bruce Willis), where a case of mistaken identity has them after his wife, Dallas (Demi Moore). Due to misunderstanding Grimes when he says to ""do"" his wife, the two travel from Las Vegas to Washington, not realizing they've been sent out to kill the woman."
m/bebes_kids,"In this animated depiction of a calamitous first date, Robin Harris (Faizon Love) hits it off with the gorgeous Jamika (Vanessa Bell Calloway), whom he meets at her boss' funeral. On the ride back, Harris is introduced to her well-behaved son (Wayne Collins), and asked if he wants to go with them to the amusement park the next day. Harris accepts, and arrives to find three more children joining them. Jamika is watching her friend Bebe's kids -- which is the beginning of Harris' problems."
m/because_i_said_so,"Daphne Wilder (Diane Keaton) is the proud mother of three women: Milly (Mandy Moore), Maggie (Lauren Graham) and Mae (Piper Perabo), and her love for her offspring knows no bounds. Because her youngest, always chooses the wrong man, she decides to take action to prevent Milly from repeating the mistakes of the past. Dating disaster ensues when Daphne tries to achieve her goal by placing an online personal ad for Milly."
m/because_of_winndixie,"Abandoned by her mother years ago, Opal (AnnaSophia Robb), a 10-year-old girl, moves with her preacher father (Jeff Daniels) to a small town in Florida. Lonely and missing her old friends, Opal is ecstatic to find companionship with a rambunctious little dog she names Winn-Dixie, after the store where she found the pup. With Winn-Dixie's help, Opal befriends several colorful townsfolk (Cicely Tyson, Eva Marie Saint, Dave Matthews) and even begins mending her relationship with her father."
m/becket,"Debauched King Henry II (Peter O'Toole) installs his longtime court facilitator Thomas Becket (Richard Burton) as the Archbishop of Canterbury, assuming that his old friend will be a compliant and loyal lackey in the King's ongoing battles with the church. But Becket unexpectedly finds his true calling on the ecclesiastical side, and aligns himself against the king's selfish wishes, causing a rift and an eventual showdown not only between the two men, but also the institutions they represent."
m/becks,"After a devastating breakup, a singer-songwriter moves in with her strictly Catholic mother and forms an unexpected friendship with the wife of an old rival."
m/becky_2020,"Spunky and rebellious Becky tries to reconnect with her father during a weekend getaway at a lakefront house. But the trip soon takes a turn for the worse when convicts on the run, led by the merciless Dominick, suddenly invade the home."
m/becoming_2020_2,"Former first lady Michelle Obama discusses her life, hopes and connections with others."
m/becoming_astrid,"Depicting the early years of Swedish author Astrid Lindgren, the world's third most-translated children's writer, credited for more than 100 books, including ""Pippi Longstocking,"" ""Emil of Lönneberga,"" and ""The Six Bullerby Children."""
m/becoming_jane,"Though Jane Austen's (Anne Hathaway) financially strapped parents (James Cromwell, Julie Walters) expect her to marry the nephew of wealthy Lady Gresham (Maggie Smith), the young woman knows that such a union will destroy her creativity and sense of self-worth. Instead, she becomes involved with Tom Lefroy (James McAvoy), a charming but penniless apprentice lawyer who gives her the knowledge of the heart she needs for her future career as a novelist."
m/becoming_santa_2010,Jack spends a season playing Santa Claus for children and learns about the benefits of belief.
m/becoming_traviata,"French coloratura soprano Natalie Dessay and director Jean-Francois Sivadier reinvent the masterpiece ""La Traviata,"" written by Italian composer Giuseppe Verdi."
m/bedazzled_1967bedazzled_2000,"Stanley Moon (Dudley Moore) is a bumbling short-order cook, infatuated with Margaret (Eleanor Bron), the statuesque waitress he works with at Wimpy Burger in London. On the verge of suicide, he meets George Spiggott (Peter Cook), the devil, who, in return for his soul, grants him seven wishes to woo the challenging Margaret. Despite the wishes and the advice of the Seven Deadly Sins, including Lilian Lust (Raquel Welch), Stanley can't seem to win his love and shake the meddling Spiggott."
m/bedford_incident,"Reporter Ben Munceford (Sidney Poitier) is aboard a U.S. Navy ship sailing near the Arctic Circle, on assignment to write a profile of Capt. Eric Finlander (Richard Widmark), a hardened anti-communist. Despite the concerns of Munceford, medical officer Chester Potter (Martin Balsam) and others on the ship, Finlander is shadowing a Soviet submarine on patrol in the same area, hoping to make it to surface. The cat-and-mouse game, however, turns deadly serious."
m/bedknobs_and_broomsticks,"During the Battle of Britain, Miss Eglantine Price (Angela Lansbury), a cunning witch-in-training, decides to use her supernatural powers to defeat the Nazi menace. She sets out to accomplish this task with the aid of three inventive children who have been evacuated from the London Blitz. Joined by Emelius Brown (David Tomlinson), the head of Miss Price's witchcraft training correspondence school, the crew uses an enchanted bed to travel into a fantasy land and foil encroaching German troops."
m/bedlam,"After getting a glimpse of the conditions at the St. Mary's of Bethlehem Asylum, known as ""Bedlam,"" Nell Bowen (Anna Lee) is concerned that the patients are being mistreated. When she seeks to better the situation, the head of St. Mary's, George Sims (Boris Karloff), uses his political savvy to have Nell committed. Being within St. Mary's does not deter Nell, however, and she starts to turn the patients against Sims in a bid to violently oust him from power."
m/bedroom_window,"Terry Lambert (Steve Guttenberg) is sleeping with Sylvia (Isabelle Huppert), the wife of his boss (Paul Shenar). One night, while in Terry's apartment, Sylvia witnesses a man assault a young woman, Denise (Elizabeth McGovern), on the road below. Not wanting to reveal her affair with Terry, she keeps quiet. Terry instead steps forward, trying to help nab the criminal. However, he never saw the suspect and, when his lies are uncovered, the police begin to suspect his motives."
m/bedrooms_and_hallways,A man (Kevin McKidd) wrestling with his sexuality falls for another man but still has feelings for a former girlfriend.
m/bedtime_for_bonzo,"A professor (Ronald Reagan) hires a nanny (Diana Lynn) to help him raise a chimp, hoping to decide nature vs. nurture."
m/bedtime_stories,"Hotel handyman Skeeter Bronson (Adam Sandler) gets an unexpected surprise when he discovers that the tall tales he has been telling his niece and nephew are somehow coming true. Hoping to make the most of the mysterious phenomenon, Skeeter spins one outlandish yarn after another, but the children's unexpected contributions to the stories turn Skeeter's life upside down."
m/bee_movie,"Fresh out of college, Barry the Bee (Jerry Seinfeld) finds the prospect of working with honey uninspiring. He flies outside the hive for the first time and talks to a human (Renée Zellweger), breaking a cardinal rule of his species. Barry learns that humans have been stealing and eating honey for centuries, and he realizes that his true calling is to obtain justice for his kind by suing humanity for theft."
m/bee_season,"In the Naumann household, 11-year-old Eliza (Flora Cross) feels she has little to offer in a family of overachievers. All that changes when she wins the spelling bee, much to the surprise of everyone. Now her father (Richard Gere), a professor of Judaism, devotes attention to her as fanatically as he does to his religious studies. With this dynamic shift, family issues, including those of Eliza's mother (Juliette Binoche) and brother (Max Minghella), come to light."
m/been_rich_all_my_life,"Filmmaker Heather Lyn MacDonald pays tribute to the Silver Belles, former chorus girls from Harlem's Renaissance period who are still grooving on well into their 80s and 90s. In their prime, the women performed with such luminaries as Bill Robinson, Cab Calloway and Duke Ellington."
m/been_so_long,"During a night on the town, a dedicated single mother meets a charming yet troubled stranger."
m/beer_for_my_horses,"Deputy Sheriff ""Rack"" Racklin (Toby Keith) arrests Tito Garza (Greg Serano) for stealing fertilizer to make crystal meth. Tito's drug-lord brother, Manuel (Carlos Sanz), vows revenge and kidnaps Rack's girlfriend, Annie (Claire Forlani). Manuel takes her to Mexico and holds her for ransom. Rack ignores his boss's (Tom Skerritt) orders and embarks on a trip to Mexico to rescue Annie. He takes Tito and two friends (Ted Nugent, Rodney Carrington) along for the ride."
m/beer_league,"Artie (Artie Lange) has no job and no girlfriend, and still lives with his mother. But he does have two things to look forward to in life: beer and softball. With best buddy Maz (Ralph Macchio), Artie plays on a team for Ed's Bar and Swill -- until their brawling behavior threatens to get them kicked out of the league. In order to maintain their place, they'll have to defeat the champions at Manganelli Fitness -- no easy task when their blood-alcohol levels exceed their batting averages."
m/beer_wars,Independent brewers challenge corporate behemoths in the U.S. beer industry.
m/beerfest,"Two brothers (Erik Stolhanske, Paul Soter) from America happen upon a secret and centuries-old beer-games competition during a visit to Germany's Oktoberfest. After losing badly, they return to America, assemble an impressive team of brew-lovers and return to Germany for a rematch."
m/beeswax,Jeannie and her estranged business partner Amanda have a falling out leading to Amanda getting back with an ex and Jeannie bonding more with her non-paralyzed twin Lauren.
m/beethovens_2nd,"The Newtons, helmed by George (Charles Grodin) and Alice (Bonnie Hunt), are in for another St. Bernard adventure when their dog, Beethoven, falls in love with fellow canine Missy and makes a family of his own. But instead of being one big happy family, Missy's owner, Regina (Debi Mazar), wants to sell off the puppies to make a huge profit. Springing into action, the Newton kids rescue the little dogs before Regina can make her deal -- but she is determined to get them back."
m/beethovens_3rd,"When George Newton and his family go on a European vacation, their St. Bernard, Beethoven, is unable to go on the trip. Instead, the Newtons arrange for George's brother, Richard (Judge Reinhold), to watch the rambunctious, gigantic pooch. With a road trip already planned, the RV becomes a bit more cramped when Beethoven joins Richard and his wife (Julia Sweeney) and kids (Joe Pichler, Michaela Gallo). But unknown to them, the family has a few more additions to the journey: two crooks."
m/beethovens_4th,"Beethoven, a havoc-causing Saint Bernard, tries the patience of his owners, the Newton family, and is surreptitiously sent to dog obedience school by children Brennan (Joe Pichler) and Sara (Michaela Gallo). After Beethoven gets loose during a walk, he changes place with Michelangelo, an identical-looking dog with impeccable manners who belongs to the snobbish Sedgewick family. Both households are utterly baffled by the switch, and order won't be restored until the mistake is rectified."
m/beetle_queen_conquers_tokyo,Cultural and historical references untangle Japan's fascination with insects.
m/beetlejuice,"After Barbara (Geena Davis) and Adam Maitland (Alec Baldwin) die in a car accident, they find themselves stuck haunting their country residence, unable to leave the house. When the unbearable Deetzes (Catherine O'Hara, Jeffrey Jones) and teen daughter Lydia (Winona Ryder) buy the home, the Maitlands attempt to scare them away without success. Their efforts attract Beetlejuice (Michael Keaton), a rambunctious spirit whose ""help"" quickly becomes dangerous for the Maitlands and innocent Lydia."
m/before_i_disappear_2014,A deeply troubled young man (Shawn Christensen) and his precocious niece (Fátima Ptacek) bond during a nighttime odyssey through New York City.
m/before_i_fall,"Samantha Kingston (Zoey Deutch) seems to have it all: popularity, a loving boyfriend (Kian Lawley) and a seemingly perfect future. Everything changes in the blink of an eye when she dies in a car crash but then magically wakes up to find herself reliving the same day over and over again. As Samantha tries to untangle the mystery of a life derailed, she must also unravel the secrets of the people closest to her and discover how the power of a single day can make a difference."
m/before_i_go_to_sleep,"Ever since a vicious attack nearly claimed her life, Christine Lucas (Nicole Kidman) has suffered from anterograde amnesia and is unable to form new memories. Every morning, she becomes reacquainted with her husband, Ben (Colin Firth), and the other constants in her life. In accordance with her doctor's (Mark Strong) instructions, Christine keeps a video diary. As Christine starts to uncover terrifying truths about her past, she begins to question everything -- and everyone -- around her."
m/before_midnight_2013,"On the last night of their idyllic Greek vacation, longtime lovers Jesse (Ethan Hawke) and Celine (Julie Delpy) reminisce about their lives together and what different choices might have brought."
m/before_night_falls,"A richly imagined journey into the life and writings of brilliant Cuban author and exile Reinaldo Arenas. It spans the whole of Arenas' life, from his rural childhood and his early embrace of the Revolution to the persecution he would later experience as a writer and homosexual in Castro's Cuba; from his departure from Cuba in the Mariel Harbor exodus of 1980 to his exile and death in the United States."
m/before_stonewall,"The riots that followed the arrests at New York City's Stonewall Inn in 1969 are widely considered to be a major development in the history of gay and lesbian rights in America. This documentary investigates national cultural perceptions of homosexuality before the event, looking back on previous decades, particularly in regard to conflicts with police and censorship. In addition to interviews with activists and scholars, the film includes the reflections of renowned writer Allen Ginsberg."
m/before_sunrise,"On his way to Vienna, American Jesse (Ethan Hawke) meets Celine (Julie Delpy), a student returning to Paris. After long conversations forge a surprising connection between them, Jesse convinces Celine to get off the train with him in Vienna. Since his flight to the U.S. departs the next morning and he has no money for lodging, they wander the city together, taking in the experiences of Vienna and each other. As the night progresses, their bond makes separating in the morning a difficult choice."
m/before_sunset,"A sequel to ""Before Sunrise,"" this film starts nine years later as Jesse (Ethan Hawke) travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine (Julie Delpy). After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more."
m/before_the_devil_knows_youre_dead,"Andy (Philip Seymour Hoffman), a debt-ridden broker, needs some quick cash. He ropes his younger brother, Hank (Ethan Hawke), into a scheme to commit the perfect crime: to rob their parents' (Albert Finney, Rosemary Harris) jewelry store. The scheme goes horribly awry, and the family patriarch takes justice into his own hands, unaware that the criminals he is hunting are his own sons."
m/before_the_flood_2016,"Actor Leonardo DiCaprio meets with scientists, activists and world leaders to discuss the dangers of climate change and possible solutions."
m/before_we_go,"A chance encounter between two strangers (Chris Evans, Alice Eve) in Grand Central Terminal sparks a life-changing, nighttime sojourn through New York City."
m/before_you_know_it_2013,"A cross-dressing loner, the flamboyant owner of a gay bar and a gay-rights activist have different approaches to living out their retirement years."
m/begin_again_2013,"Gretta (Keira Knightley) and her songwriting partner/lover Dave (Adam Levine) head for New York when he lands a record deal with a major label. However, Gretta is suddenly left on her own when Dave gives in to the temptations that come with his newfound success. Things take a turn for the better for her when Dan (Mark Ruffalo), a disgraced record executive, discovers Gretta performing in a club. A mutually life-changing bond forms between the pair as they work together on Gretta's first album."
m/beginners,"After his mother dies, Oliver (Ewan McGregor) is stunned when his father, Hal (Christopher Plummer), recently diagnosed with terminal cancer, comes out of the closet. When Hal passes away a few years later, Oliver grows depressed, struggling with his failing career as an artist while constantly remembering his childhood and time spent with his dad. Oliver's loneliness is eased when he meets actress Anna (Mélanie Laurent), but their relationship is threatened by their mutual fear of commitment."
m/beguiled,"Offbeat Civil War drama in which a wounded Yankee soldier, after finding refuge in an isolated girls' school in the South towards the end of the war, becomes the object of the young women's sexual fantasies. The soldier manipulates the situation for his own gratification, but when he refuses to completely comply with the girls' wishes, they make it very difficult for him to leave."
m/behaving_badly_2014,"A lovestruck teenager (Nat Wolff) will do anything to win the gal (Selena Gomez) of his dreams, including making a bet with a mobster's son."
m/behind_enemy_lines_2_axis_of_evil,Four Navy SEALS fight for their lives after a top-secret mission to destroy a missile site in North Korea goes awry.
m/behind_the_burly_q,The golden age of burlesque is revealed through personal and intimate stories from the performers who lived through it.
m/behind_the_candelabra,"World-famous pianist Liberace (Michael Douglas) takes much-younger Scott Thorson (Matt Damon) as a lover, but the relationship deteriorates when Liberace takes other bedmates and Thorson becomes addicted to drugs."
m/behind_the_mask_the_rise_of_leslie_vernon,"Nice, normal-looking Leslie Vernon (Nathan Baesel) has an obsession with movie-style slashers like Michael Myers, Jason Voorhees and Freddy Krueger. Leslie decides to follow in the footsteps of his heroes, and, ever the self-promoter, invites a documentary filmmaker (Angela Goethals) and her crew to follow him around as he constructs his own grisly legacy."
m/behind_you,A girl unwittingly releases a malicious demon that haunted her mother and aunt years earlier.
